Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax
Cardinals,2014,11,5,0,Good,16441995,2653397,14667325,4298132,13774076,51834925,25825251,16514133,3473804,16867423,62680611,1861579,16622885,116377115,133000000
Chargers,2014,9,7,0,Mediocre,17856766,8605886,10851816,9315091,19973727,66603286,7275737,18069498,13044216,6186511,44575962,2643088,19177664,113822336,133000000
Chiefs,2014,9,7,0,Mediocre,8786939,11495196,17692219,6165390,12179435,56319179,14297941,24232568,14757053,8579227,61866789,4815666,9998366,123001634,133000000
Colts,2014,11,5,0,Good,9779454,4019936,11951863,2894739,16559625,45205617,18595139,24218804,7474934,15753451,66042328,5770000,15982055,117017945,133000000
Cowboys,2014,12,4,0,Good,12764666,2815945,5655361,9965144,21509863,52710979,10653530,10078315,3619379,21783154,46134378,3350000,30804643,102195357,133000000
Dolphins,2014,8,8,0,Mediocre,9024346,5275190,28597229,2453213,19009521,64359499,24861738,19901899,7286117,12603136,64652890,5092343,-1104732,134104732,133000000
Eagles,2014,10,6,0,Good,3772237,16415834,10693053,5720045,29459266,66060435,16561275,17603337,7603608,13632290,55400510,2808333,8730722,124269278,133000000
Falcons,2014,6,10,0,Bad,18576474,6980028,17966288,1247246,26463166,71233202,24351290,7666852,7645545,5342576,45006263,5152284,11608251,121391749,133000000
Giants,2014,6,10,0,Bad,21008400,5120134,12922572,2083825,18841638,59976569,13113573,14621482,14117378,11998314,53850747,4475000,14697684,118302316,133000000
Jaguars,2014,3,13,0,Bad,9554830,6308882,8703307,10592682,16247624,51407325,28827556,13828131,4265477,3681002,50602166,5453856,25536653,107463347,133000000
Jets,2014,4,12,0,Bad,5402878,6138225,14682201,3321133,27006154,56550591,9226734,15437435,4571367,7604495,36840031,4890000,34719378,98280622,133000000
Lions,2014,11,5,0,Good,17031668,6083043,18606777,5346687,11871158,58939333,38109250,13479446,5342000,4023173,60953869,1572428,11534370,121465630,133000000
Packers,2014,12,4,0,Good,19273750,2850778,9395943,2464445,18989544,52974460,7450236,34901978,7570989,19240070,69163273,5476250,5386017,127613983,133000000
Panthers,2014,7,8,1,Mediocre,8743113,15241700,4162200,9592200,16431582,54170795,33189527,9299071,4923626,1839412,49251636,3319670,26257899,106742101,133000000
