Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax
Eagles,2018,9,7,0,Mediocre,21505365,5143228,16761079,7215415,35461396,86086483,40131724,7463300,16905015,5192238,69692277,1672500,19748740,157451260,177200000
Falcons,2018,7,9,0,Mediocre,22329200,7325063,24432270,2433131,40262172,96781836,17965541,8581239,8818569,27139828,62505177,5374019,12538968,164661032,177200000
Giants,2018,5,11,0,Bad,23411925,11329128,12265128,7070209,16351639,70428029,6466608,30767653,5248621,13155011,55637893,2200000,48934078,128265922,177200000
Jaguars,2018,5,11,0,Bad,10786333,12425774,17287457,4822038,28024882,73346484,51356162,11985485,11238779,27090280,101670706,1082022,1100788,176099212,177200000
Jets,2018,4,12,0,Bad,15760757,8070717,13044099,3861826,36847212,77584611,16787655,17434328,10941303,27956260,73119546,1908948,24586895,152613105,177200000
Lions,2018,6,10,0,Bad,27560000,7708425,10261176,4771517,26454707,76755825,25954600,13152062,13868343,12942767,65917772,6845000,27681403,149518597,177200000
Packers,2018,6,9,1,Bad,22071928,1581868,26709607,10835666,33058976,94258045,19504029,28120459,6337244,6889233,60850965,6283723,15807267,161392733,177200000
Panthers,2018,7,9,0,Mediocre,22245471,6826065,12957544,9312292,32444025,83785397,40940158,18702633,8525314,10046763,78214868,2470882,12728853,164471147,177200000
Patriots,2018,11,5,0,Good,23044200,7894058,15575488,16740476,20349864,83604086,17979000,16065653,22783881,15013651,71842185,7860000,13893729,163306271,177200000
Raiders,2018,4,12,0,Bad,25915200,7694424,18652510,11533431,36376204,100171769,14213805,10206380,11068824,10862532,46351541,1268504,29408186,147791814,177200000
Rams,2018,13,3,0,Good,8767592,9038320,14151679,2758153,27763882,62479626,39110096,16676934,12948223,21356753,90092006,7578551,17049817,160150183,177200000
Ravens,2018,10,6,0,Good,27572118,3363334,12886087,4763673,21740115,70325327,10287179,22742528,16441962,26734432,76206101,9736666,20931906,156268094,177200000
Redskins,2018,7,9,0,Mediocre,22370588,6464791,11550945,16639653,35748048,92774025,11964793,24236263,5638443,21140054,62979553,3433990,18012432,159187568,177200000
Saints,2018,13,3,0,Good,26852600,7093841,12859196,7775068,35864741,90445446,27594929,14765854,7798629,8475586,58634998,3835000,24284556,152915444,177200000
Seahawks,2018,10,6,0,Good,24620964,4655724,20229810,3273982,23349614,76130094,10766134,26759580,26285750,7339007,71150471,3197537,26721898,150478102,177200000
Steelers,2018,9,6,1,Mediocre,24607847,1414972,13094252,6021982,35090781,80229834,18570996,22789249,7577505,18261233,67198983,2565235,27205948,149994052,177200000
Texans,2018,11,5,0,Good,4498746,8781571,22937792,3958681,21831728,62008518,19458959,31037318,11881679,32029767,94407723,2003166,18780593,158419407,177200000
Titans,2018,9,7,0,Mediocre,9704446,6917202,8480482,11443542,34214395,70760067,26928600,32001276,11696707,20975177,91601760,7718000,7120173,170079827,177200000
Vikings,2018,8,7,1,Mediocre,26462000,8510220,15333845,9592122,26668316,86566503,37136839,18490720,15731056,22554099,93912714,3230000,-6509217,183709217,177200000
49ers,2019,13,3,0,Good,21532358,14578972,15938972,4258221,37558398,93866921,46925184,15326818,10736568,14706919,87695489,5600000,1037590,187162410,188200000
Bears,2019,8,8,0,Mediocre,14055437,1792775,28561458,12492121,19864821,76766612,37374679,35184690,5683006,30304445,108546820,3000000,-113432,188313432,188200000
Bengals,2019,2,14,0,Bad,17389080,7753530,28740271,10882654,32697458,97462993,31999183,4597140,7071863,23542739,67210925,5700000,17826082,170373918,188200000
Bills,2019,10,6,0,Good,6713826,4562191,18785529,10198933,31194376,71454855,47294878,11160531,12774835,7549959,78780203,6400000,31564942,156635058,188200000
Broncos,2019,7,9,0,Mediocre,6936162,4939853,4509420,7329076,26251247,49965758,51967669,40689052,11185503,19461415,123303639,5600000,9330603,178869397,188200000
Browns,2019,6,10,0,Bad,11826075,3404034,35727967,6562380,36723539,94243995,35510023,14396593,15255977,21268697,86431290,1900000,5624715,182575285,188200000
Buccaneers,2019,7,9,0,Mediocre,23770750,5056256,21774081,11313773,42981228,104896088,39767787,24235530,5355326,6147003,75505646,3700000,4098266,184101734,188200000
Cardinals,2019,5,10,1,Bad,8296599,12140266,16674681,3588603,34014338,74714487,32631336,24966157,4786932,17466133,79850558,3700000,29934955,158265045,188200000
Chargers,2019,5,11,0,Bad,27064655,6477550,23608026,7014216,37523591,101688038,37530815,13732642,7265608,12377117,70906182,1600000,14005780,174194220,188200000
Chiefs,2019,12,4,0,Good,9288808,6758058,25947032,12691900,30594087,85279885,21921413,12349549,14285030,9297683,57853675,5400000,39666440,148533560,188200000
Colts,2019,7,9,0,Mediocre,11793235,2907359,31309352,14444000,29040221,89494167,37666168,4862403,4862403,21669013,73398143,4700000,24945846,163254154,188200000
Cowboys,2019,8,8,0,Mediocre,2903516,7258235,23195205,6115957,52928659,92401572,39862741,14935984,5626954,11759970,72185649,3200000,20412779,167787221,188200000
Dolphins,2019,5,11,0,Bad,7119898,1989719,21269506,2790180,10059484,43228787,11592471,9743306,30648047,17524815,69508639,1800000,73662574,114537426,188200000
Eagles,2019,9,7,0,Mediocre,14278779,5468274,19997045,7822805,36444965,84011868,29032046,7692784,20577441,9679240,66981511,1900000,35306621,152893379,188200000
Falcons,2019,7,9,0,Mediocre,18063000,9484109,15332230,5258881,36609416,84747636,27943790,21102931,10218404,17012133,76277258,1500000,25675106,162524894,188200000
Giants,2019,4,12,0,Bad,28405163,8989981,16166352,8759798,26599108,88920402,19346968,25906850,8300429,5000958,58555205,1700000,39024393,149175607,188200000
Jaguars,2019,6,10,0,Bad,13149963,9322496,13956013,5508925,32106212,74043609,35181723,12613248,6361198,24220950,78377119,3200000,32579272,155620728,188200000
Jets,2019,7,9,0,Mediocre,9491711,11432801,19374147,3093662,35809241,79201562,25053992,30512660,11243424,22098745,88908821,2000000,18089617,170110383,188200000
Lions,2019,3,12,1,Bad,31930059,2307429,17465459,6730065,27129944,85562956,24696075,15306901,5017157,23637112,68657245,6400000,27579799,160620201,188200000
Packers,2019,13,3,0,Good,30060000,2275911,16313123,16508239,45779795,110937068,27691279,23628563,8930462,13575522,73825826,6100000,-2662894,190862894,188200000
Panthers,2019,5,11,0,Bad,24395545,6283177,9197102,9028498,22616326,71520648,48890196,40767860,8586514,7357669,105602239,3100000,7977113,180222887,188200000
Patriots,2019,12,4,0,Good,22535204,12229419,20229111,2677268,23741152,81412154,17774218,23365010,27918225,18863654,87921107,1800000,17066739,171133261,188200000
Raiders,2019,7,9,0,Mediocre,25688481,8002165,14399349,5767514,40914105,94771614,16689468,8512658,19976408,9652415,54830949,1600000,36997437,151202563,188200000
Rams,2019,9,7,0,Mediocre,11765577,12126193,26412655,4228642,31811467,86344534,48437482,23981219,9800904,11806937,94026542,6000000,1828924,186371076,188200000
Ravens,2019,14,2,0,Good,4187820,4647747,12405040,6811187,24600941,52652735,26705772,10453396,23587904,39039526,99786598,9900000,25860667,162339333,188200000
Redskins,2019,3,13,0,Bad,29974202,8218621,9962196,17664279,32197919,98017217,29543348,22258256,7558867,22689383,82049854,6300000,1832929,186367071,188200000
Saints,2019,13,3,0,Good,26595000,3756693,13051443,6502176,42560951,92466263,25471645,20311789,4190537,16638197,66612168,6800000,22321569,165878431,188200000
Seahawks,2019,11,5,0,Good,26996766,5035413,12335319,6730075,33430896,84528469,26701731,35139216,10653670,4300635,76795252,4000000,22876279,165323721,188200000
Steelers,2019,8,8,0,Mediocre,27991392,1766913,4570576,8105668,36091768,78526317,45973161,27465837,5534972,18112322,97086292,6400000,6187391,182012609,188200000
Texans,2019,10,6,0,Good,7833793,12744125,27327533,3376502,26680848,77962801,43293395,27186108,10155128,20683883,101318514,5000000,3918685,184281315,188200000
Titans,2019,9,7,0,Mediocre,23283000,7319205,16140089,8786988,34418326,89947608,34350611,19659370,8433793,30531666,92975440,4300000,976952,187223048,188200000
Vikings,2019,10,6,0,Good,29905000,4409766,22442158,6058384,24116130,86931438,38798129,12871959,15018703,27075664,93764455,3200000,4304107,183895893,188200000
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
